"","site_subplot","moist_3_g_OD_equivalent","moist_10_g_OD_equivalent"
"1","300 SP2",3.20633484162896,10.6877828054299
"2","500 SP3",3.60724431818182,12.0241477272727
"3","300 SP1",3.23361453601557,10.7787151200519
"4","500 SP4",3.68415741675076,12.2805247225025
"5","800 SP4",3.51394422310757,11.7131474103586
"6","800 SP1",3.57264957264957,11.9088319088319
"7","800 SP2",3.97922848664688,13.2640949554896
"8","800 SP3",3.61408296943231,12.046943231441
"9","1400 SP4",4.26177658142665,14.2059219380888
"10","200 SP1",3.55416191562144,11.8472063854048
"11","200 SP",3.48381788261108,11.6127262753703
"12","1400 SP3",4.59334763948498,15.3111587982833
"13","summit SP4",5.21542553191489,17.3847517730496
"14","summit SP3",4.49544072948328,14.9848024316109
"15","1400 SP1",4.49875930521092,14.9958643507031
"16","1000 SP1",5.39168765743073,17.9722921914358
"17","1000 SP3",5.59195402298851,18.639846743295
"18","1300 SP4",5.15159574468085,17.1719858156028
"19","900 SP1",4.70614035087719,15.687134502924
"20","900 SP2",4.60223048327137,15.3407682775712
"21","900 SP3",4.45468628969791,14.848954298993
"22","1100 SP1",5.05832449628844,16.8610816542948
"23","1100 SP2",5.25388601036269,17.5129533678756
"24","1100 SP4",4.69035532994924,15.6345177664975
"25","1000 SP2",5.37473684210526,17.9157894736842
"26","summit SP1",4.54474431818182,15.1491477272727
"27","summit SP2",4.73880597014925,15.7960199004975
"28","1400 SP2",4.47593582887701,14.9197860962567
"29","200 SP4",3.50319724545007,11.6773241515002
"30","200 SP3",3.49875466998755,11.6625155666252
"31","600 SP3",4.303197353914,14.3439911797133
"32","600 SP1",3.77023712183156,12.5674570727719
"33","1200 SP4",4.76370967741935,15.8790322580645
"34","600 SP4",4.34877384196185,14.4959128065395
"35","500 SP2",3.74082568807339,12.4694189602446
"36","500 SP1",3.69484361792054,12.3161453930685
"37","900 SP4",4.94781864841745,16.4927288280582
"38","1300 SP3",4.20947176684882,14.0315725561627
"39","300 SP4",3.17874610938195,10.5958203646065
"40","600 SP2",4.18932384341637,13.9644128113879
"41","1200 SP1",4.88095238095238,16.2698412698413
"42","1200 SP2",3.75438596491228,12.5146198830409
"43","1000 SP4",6.06230529595016,20.2076843198339
"44","1100 SP3",6.01793721973094,20.0597907324365
"45","1300 SP1",4.72764561115669,15.7588187038556
"46","300 SP3",3.21388012618297,10.7129337539432
"47","1300 SP2",4.3982683982684,14.6608946608947
