elevation	nitrate	ammonium	total_NO3_in_extract_mg	total_NO3_in_extract_ug	total_NO3_per_g_soil_ug	total_NH4_in_extract_mg	total_NH4_in_extract_ug	total_NH4_per_g_soil_ug	elevation1	avg_TOC	avg_mg_TOC_per_30ml	avg_ug_TOC_per_30ml	avg_ug_TOC_per_g_soil	C_nitrate_ratio	C_mineral_N_ratio
1000	1.205	3.5475000000000003	0.12050000000000001	120.50000000000001	12.05	0.35475000000000007	354.75000000000006	35.47500000000001	1000m	1027.45	30.8235	30823.5	10274.5	852.655601659751	216.1914781693845
1100	0.2	1.6475	0.020000000000000004	20.000000000000004	2.0000000000000004	0.16475	164.75	16.475	1100m	655.7	19.671	19671	6557	3278.499999999999	354.9120433017591
1200	0.2	3.6925	0.020000000000000004	20.000000000000004	2.0000000000000004	0.36925	369.25	36.925	1200m	746.7	22.401	22401	7467	3733.499999999999	191.83044315992294
1300	0.2	4.0075	0.020000000000000004	20.000000000000004	2.0000000000000004	0.40075000000000005	400.75000000000006	40.075	1300m	724.05	21.7215	21721.5	7240.5	3620.249999999999	172.08556149732618
1400	0.2	1.8366666666666667	0.020000000000000004	20.000000000000004	2.0000000000000004	0.18366666666666667	183.66666666666669	18.366666666666667	1400m	787.4666666666667	23.624	23624	7874.666666666667	3937.3333333333326	386.64484451718494
200	0.2	1.1675	0.020000000000000004	20.000000000000004	2.0000000000000004	0.11675	116.75	11.675	1500	534.2	16.026	16026	5342	2670.9999999999995	390.63985374771477
300	0.2	0.5800000000000001	0.020000000000000004	20.000000000000004	2.0000000000000004	0.05800000000000001	58.00000000000001	5.800000000000001	200m	367.92	11.0376	11037.599999999999	3679.1999999999994	1839.5999999999992	471.69230769230757
500	0.2	1.195	0.020000000000000004	20.000000000000004	2.0000000000000004	0.11950000000000001	119.50000000000001	11.950000000000001	300m	233.625	7.00875	7008.75	2336.25	1168.1249999999998	167.4731182795699
600	1.0733333333333333	1.5333333333333334	0.10733333333333334	107.33333333333334	10.733333333333334	0.15333333333333335	153.33333333333334	15.333333333333334	500m	421.55	12.6465	12646.5	4215.5	392.7484472049689	161.71994884910484
800	0.8925000000000001	2.2	0.08925000000000001	89.25000000000001	8.925	0.22000000000000003	220.00000000000003	22.000000000000004	600m	378.9	11.366999999999999	11367	3789	424.53781512605036	122.52223120452706
900	1.7825	1.7025000000000001	0.17825000000000002	178.25000000000003	17.825000000000003	0.17025	170.25	17.025	800m	522	15.66	15660	5220	292.8471248246844	149.7847919655667
1500	0.2	2.2325	0.020000000000000004	20.000000000000004	2.0000000000000004	0.22325	223.25	22.325	900m	870	26.099999999999998	26099.999999999996	8699.999999999998	4349.999999999998	357.6567317574511
