,Well,Fluor,Target,Content,Sample,Cq,SQ
,A04,SYBR,,Std-2,,7.1363276935242,100000
,A05,SYBR,,Std-2,,7.818745125715,100000
,A06,SYBR,,Std-2,,7.15114437945886,100000
,A07,SYBR,,Std-3,,11.6292668760802,10000
,A08,SYBR,,Std-3,,12.7339338021804,10000
,A09,SYBR,,Std-3,,11.9602294557409,10000
,A10,SYBR,,Std-4,,15.3076645426222,1000
,A11,SYBR,,Std-4,,14.7845051341593,1000
,B01,SYBR,,Std-5,,20.2839687141352,100
,B02,SYBR,,Std-5,,20.2139321885309,100
,B03,SYBR,,Std-5,,20.6624562328489,100
,B04,SYBR,,Std-6,,24.6552797350404,10
,B05,SYBR,,Std-6,,25.0516474692779,10
,B06,SYBR,,Std-6,,25.0550446792338,10
,B07,SYBR,,Unkn,,27.4030739316597,2.39240875114266
,B08,SYBR,,Unkn,,29.3035484198498,0.872498208463639
,B09,SYBR,,Unkn,,26.949801218615,3.04310878715712
,B10,SYBR,,Unkn,,27.6930028547416,2.05118586900031
,B11,SYBR,,Unkn,,25.6955866005472,5.92136069321991
,B12,SYBR,,Unkn,,32.2380830244007,0.183796233942061
,C01,SYBR,,Unkn,,26.7082278312117,3.45940653696209
,C02,SYBR,,Unkn,,29.4862119796236,0.791880212616978
,C03,SYBR,,Unkn,,25.6032083852912,6.21892404473811
,C04,SYBR,,Unkn,,26.6691393045145,3.53192719753084
,C05,SYBR,,Unkn,,25.8932527283003,5.331608861843
,C06,SYBR,,Unkn,,26.1416402908311,4.6730825081888
,C07,SYBR,,Unkn,,27.2513009675821,2.59310418736213
,C08,SYBR,,Unkn,,26.0617155130139,4.87558343264438
,C09,SYBR,,Unkn,,27.7093915530768,2.0334210826779
,C10,SYBR,,Unkn,,26.9060795080975,3.11455207205082
,C11,SYBR,,Unkn,,26.3770104599113,4.12429009002524
,C12,SYBR,,Unkn,,28.9776236566274,1.03727083905251
,D01,SYBR,,Unkn,,27.4027356348486,2.39283835707055
,D02,SYBR,,Unkn,,26.5071723653802,3.84898394832388
,D03,SYBR,,Unkn,,25.628173204873,6.13706482904583
,D04,SYBR,,Unkn,,26.8351754327457,3.23399551649141
,D05,SYBR,,Unkn,,26.8946847666526,3.1334455538788
,D06,SYBR,,Unkn,,27.4985576357291,2.27418511326348
,D07,SYBR,,Unkn,,25.2071666112372,7.67370803715256
,D08,SYBR,,Unkn,,24.6833816291028,10.1330659870381
,D09,SYBR,,Unkn,,26.2336340617019,4.45039264991692
,D10,SYBR,,Unkn,,25.2428582209733,7.5297080929339
,D11,SYBR,,Unkn,,25.4234205143902,6.84159625998251
,D12,SYBR,,Unkn,,27.4913332346601,2.28292203708918
,E01,SYBR,,Unkn,,26.6655548900771,3.53865295387044
,E02,SYBR,,Unkn,,27.1631402655774,2.71732472410598
,E03,SYBR,,Unkn,,25.622551291666,6.15540447467755
,E04,SYBR,,Unkn,,25.8008328332528,5.59965956624939
,E05,SYBR,,Unkn,,26.0668886526317,4.86221493211819
,E06,SYBR,,Unkn,,25.6034183034672,6.2182311949445
,E07,SYBR,,Unkn,,26.1345064049373,4.69081011282689
,E08,SYBR,,Unkn,,26.132590429738,4.69558272962237
,E09,SYBR,,Unkn,,24.8444681342629,9.30270949986122
,E10,SYBR,,Unkn,,25.0185077442983,8.48188302704393
,E11,SYBR,,Unkn,,25.2140891299778,7.64556507520958
,E12,SYBR,,Unkn,,25.9573438130932,5.15329375402554
,F01,SYBR,,Unkn,,24.9749063217581,8.68045859473244
,F02,SYBR,,Unkn,,25.5895029371169,6.26432730452561
,F03,SYBR,,Unkn,,25.3768902860764,7.01266253544391
,F04,SYBR,,Unkn,,25.6201608405701,6.16321913280903
,F05,SYBR,,Unkn,,25.402774136788,6.91698058084466
,F06,SYBR,,Unkn,,25.4080995198378,6.89745734616407
