,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A04,SYBR,,Std-2,,84.6,1331.34761252251,81,88.8,
,A05,SYBR,,Std-2,,84.6,1229.69532202014,81,88.8,
,A06,SYBR,,Std-2,,84.6,1223.2263497366,81,89.1,
,A07,SYBR,,Std-3,,84.6,1039.01913890455,81.3,88.8,
,A08,SYBR,,Std-3,,84.6,1274.98990596065,81,88.8,
,A09,SYBR,,Std-3,,84.6,1335.02106456515,81,88.8,
,A10,SYBR,,Std-4,,84.6,1115.6977806021,81,87.9,
,A11,SYBR,,Std-4,,84.6,1029.37839106282,81,88.2,
,A12,SYBR,,Std-4,,84.6,1236.75872568581,81,88.2,
,A19,SYBR,,Unkn,,None,None,None,None,
,A20,SYBR,,Unkn,,None,None,None,None,
,A21,SYBR,,Unkn,,None,None,None,None,
,A22,SYBR,,Unkn,,None,None,None,None,
,A23,SYBR,,Unkn,,None,None,None,None,
,A24,SYBR,,Unkn,,None,None,None,None,
,B01,SYBR,,Unkn,,None,None,None,None,
,B02,SYBR,,Unkn,,None,None,None,None,
,B03,SYBR,,Unkn,,None,None,None,None,
,B04,SYBR,,Unkn,,None,None,None,None,
,B05,SYBR,,Unkn,,None,None,None,None,
,B06,SYBR,,Unkn,,None,None,None,None,
,B07,SYBR,,Unkn,,None,None,None,None,
,B08,SYBR,,Unkn,,None,None,None,None,
,B09,SYBR,,Unkn,,None,None,None,None,
,B10,SYBR,,Unkn,,None,None,None,None,
,B11,SYBR,,Unkn,,85.8,507.449691254207,79.2,92.4,
,B12,SYBR,,Unkn,,None,None,None,None,
,B13,SYBR,,Unkn,,None,None,None,None,
,B14,SYBR,,Unkn,,None,None,None,None,
,B15,SYBR,,Unkn,,None,None,None,None,
,B16,SYBR,,Unkn,,None,None,None,None,
,B17,SYBR,,Unkn,,None,None,None,None,
,B18,SYBR,,Unkn,,None,None,None,None,
,B19,SYBR,,Unkn,,None,None,None,None,
,B20,SYBR,,Unkn,,None,None,None,None,
,B21,SYBR,,Unkn,,None,None,None,None,
,B22,SYBR,,Unkn,,None,None,None,None,
,B23,SYBR,,Unkn,,None,None,None,None,
,B24,SYBR,,Unkn,,None,None,None,None,
,C01,SYBR,,Unkn,,None,None,None,None,
,C02,SYBR,,Unkn,,None,None,None,None,
,C03,SYBR,,Unkn,,85.8,532.985119451993,78.3,93.9,
,C04,SYBR,,Unkn,,None,None,None,None,
,C05,SYBR,,Unkn,,None,None,None,None,
,C06,SYBR,,Unkn,,85.5,447.366625807209,78,92.4,
,C07,SYBR,,Unkn,,85.8,449.664985120859,80.4,92.1,
,C08,SYBR,,Unkn,,None,None,None,None,
,C09,SYBR,,Unkn,,85.8,633.162469113818,79.8,93.3,
,C10,SYBR,,Unkn,,None,None,None,None,
,C11,SYBR,,Unkn,,None,None,None,None,
,C12,SYBR,,Unkn,,None,None,None,None,
,C13,SYBR,,Unkn,,None,None,None,None,
,C14,SYBR,,Unkn,,None,None,None,None,
,C15,SYBR,,Unkn,,None,None,None,None,
,C16,SYBR,,Unkn,,None,None,None,None,
,C17,SYBR,,Unkn,,85.2,467.710389247344,75,93.3,
,C18,SYBR,,Unkn,,None,None,None,None,
,C19,SYBR,,Neg Ctrl,,None,None,None,None,
,C20,SYBR,,Neg Ctrl,,None,None,None,None,
,C21,SYBR,,Neg Ctrl,,None,None,None,None,
